Fire,SP,Group,Date,UTM1,UTM2,Bird1,Bird2,Bird3,Bird4,Bird5,Bird6,Bird7,Bird8
N,Post,132,25-Jul-13,730592,8561798,WEE,FWF,YAF,,,,,
N,Post,133,25-Jul-13,730959,8560677,WEY,AWY,,,,,,
N,Post,134,25-Jul-13,731002,8561562,BFW,YEW,AAA,,,,,
N,Post,135,25-Jul-13,730497,8560968,BGW,YYB,,,,,,
Y,Post,136,26-Jul-13,731444,8561248,GAG,XXY,,,,,,
N,Post,137,26-Jul-13,731181,8561506,AAA,YEW,BFW,,,,,
N,Post,138,26-Jul-13,731213,8561500,WYW,WEF,BBF,,,,,
N,Post,139,26-Jul-13,730497,8560968,BFF,YYB,,,,,,
Y,Post,140,27-Jul-13,731510,8561162,GAG,XXY,,,,,,
Y,Post,141,27-Jul-13,731501,8561143,FEG,GYW,EEW,,,,,
N,Post,142,28-Jul-13,730433,8561962,WEE,FWF,YAF,,,,,
Y,Post,143,28-Jul-13,731880,8562745,FAY,BWB,BAG,,,,,
Y,Post,144,28-Jul-13,731499,8561130,GAG,XXY,,,,,,
Y,Post,145,28-Jul-13,731504,8561133,GAG,XXY,GYW,EEW,,,,
N,Post,146,29-Jul-13,730848,8560175,GYG,GAY,,,,,,
N,Post,147,29-Jul-13,730798,8560197,YFE,WWB,,,,,,
N,Post,148,29-Jul-13,730848,8560175,GAY,GYG,,,,,,
Y,Post,149,30-Jul-13,732512,8561644,YWE,BGF,,,,,,
N,Post,150,31-Jul-13,730783,8560221,BAF,WWB,YFE,,,,,
Y,Post,151,1-Aug-13,731993,8562576,FAY,FAF,BAG,EAA,XXF,BWB,EBW,
N,Post,152,1-Aug-13,731876,8561501,GEG,YBA,,,,,,
Y,Post,153,1-Aug-13,732463,8561725,YWE,BGF,,,,,,
N,Post,154,1-Aug-13,731906,8561525,YBA,GEG,,,,,,
Y,Post,155,2-Aug-13,731812,8562748,FAY,BWB,,,,,,
N,Post,156,2-Aug-13,731219,8561473,WEF,BBF,WYW,,,,,
Y,Post,157,3-Aug-13,731812,8562748,FAY,BAG,,,,,,
Y,Post,158,4-Aug-13,731812,8562748,BAG,BWB,,,,,,
N,Post,159,5-Aug-13,731030,8561049,WEW,FWA,BAA,,,,,
Y,Post,160,5-Aug-13,730771,8563581,BYG,AWG,BEE,EGE,FBF,GWY,,
N,Post,161,6-Aug-13,731003,8561555,AAA,YEW,BFW,WYW,,,,
N,Post,162,7-Aug-13,730847,8562597,BWE,YGY,,,,,,
