,Focal.Letter,Social.Partner,Treatment.Period,Group.ID.Populations,Treatment,num_interactions,ordered.pair.period,scans.where.at.least.1.seen,SRI
1768,KH,KO,1,T1,Treatment,2,KH_KO_1,45,0.044444444
1769,KH,KO,2,T1,Treatment,1,KH_KO_2,46,0.02173913
1770,KH,KP,2,T1,Treatment,1,KH_KP_2,47,0.021276596
1771,KH,KV,1,T1,Treatment,1,KH_KV_1,39,0.025641026
1772,KH,UE,2,T1,Treatment,1,KH_UE_2,44,0.022727273
1773,KH,UL,1,T1,Treatment,2,KH_UL_1,41,0.048780488
1774,KH,UO,2,T1,Treatment,1,KH_UO_2,47,0.021276596
1775,KH,US,2,T1,Treatment,1,KH_US_2,45,0.022222222
1776,KH,UT,1,T1,Treatment,3,KH_UT_1,41,0.073170732
1777,KH,UV,1,T1,Treatment,1,KH_UV_1,33,0.03030303
1778,KH,UZ,1,T1,Treatment,1,KH_UZ_1,37,0.027027027
1779,KK,KA,2,T1,Treatment,1,KA_KK_2,44,0.022727273
1780,KK,KH,1,T1,Treatment,1,KH_KK_1,38,0.026315789
1781,KK,KH,2,T1,Treatment,1,KH_KK_2,45,0.022222222
1782,KK,KM,2,T1,Treatment,2,KK_KM_2,46,0.043478261
1783,KK,KO,1,T1,Treatment,2,KK_KO_1,41,0.048780488
1784,KK,KO,2,T1,Treatment,1,KK_KO_2,47,0.021276596
1785,KK,KP,1,T1,Treatment,2,KK_KP_1,41,0.048780488
1786,KK,KP,2,T1,Treatment,2,KK_KP_2,45,0.044444444
1787,KK,KX,2,T1,Treatment,1,KK_KX_2,43,0.023255814
1788,KK,KZ,2,T1,Treatment,1,KK_KZ_2,46,0.02173913
1789,KK,UC,1,T1,Treatment,2,KK_UC_1,41,0.048780488
1790,KK,UD,1,T1,Treatment,1,KK_UD_1,44,0.022727273
1791,KK,UE,2,T1,Treatment,1,KK_UE_2,42,0.023809524
1792,KK,UH,2,T1,Treatment,2,KK_UH_2,43,0.046511628
1793,KK,UL,2,T1,Treatment,4,KK_UL_2,44,0.090909091
1794,KK,UM,1,T1,Treatment,1,KK_UM_1,38,0.026315789
1795,KK,UO,2,T1,Treatment,3,KK_UO_2,42,0.071428571
