"node_ID","eigenvector_centrality","betweeness","degree","network","animal","condition","replicate_num"
"00074f75b7","0.89882217341317","0.0223580842380346","21","mouse_LPS","mouse","after","9"
"00074ed1e1","0.976503407706182","0.140122490899217","24","mouse_LPS","mouse","after","9"
"00075d2329","0.0866272826850205","0","5","mouse_LPS","mouse","after","9"
"00075d4864","0.765047091586024","0.265812779274411","20","mouse_LPS","mouse","after","9"
"00074f0477","0.904751620331045","0.354040640308002","20","mouse_LPS","mouse","after","9"
"00075b5bfa","0.976503407706182","0.140122490899217","24","mouse_LPS","mouse","after","9"
"00075a3dcf","0.918366998050476","0.0758873599931173","21","mouse_LPS","mouse","after","9"
"00075b25de","0.976503407706182","0.0871255504831347","23","mouse_LPS","mouse","after","9"
"00075b38ca","0.922318765706989","1","24","mouse_LPS","mouse","after","9"
"00075b39cc","0.677113479400027","0.00496846316400768","18","mouse_LPS","mouse","after","9"
"00074d93c4","0.753902875128124","0.132706514439221","17","mouse_LPS","mouse","after","10"
"00074c0118","0.739095000094792","0.166957689724647","18","mouse_LPS","mouse","after","10"
"00074dad20","0.6644266594184","0.106380120886501","13","mouse_LPS","mouse","after","10"
"00074dd73c","1","1","24","mouse_LPS","mouse","after","10"
"00074d8c26","0.69119168181289","0.155137676292814","15","mouse_LPS","mouse","after","10"
"00074dbe5f","0.892218959359596","0.480053727333781","21","mouse_LPS","mouse","after","10"
"00074ddf16","0.75247087739207","0","16","mouse_LPS","mouse","after","10"
"00074ecdad","0.935746522041877","0.405641370047011","20","mouse_LPS","mouse","after","10"
"00074f1859","0.956472437317718","0.686903962390866","22","mouse_LPS","mouse","after","10"
"0007500d05","1","0.791269308260578","23","mouse_LPS","mouse","after","10"
"00074def43","0.825377165968769","0.048354600402955","18","mouse_LPS","mouse","after","10"
"00074d9e9e","0.450105955112073","0.00846205507051713","10","mouse_LPS","mouse","after","10"
"00075b3e1e","0.679703070367346","0.0517125587642713","17","mouse_LPS","mouse","after","10"
"00075b525f","0.843442169882731","0.165727170236753","14","mouse_LPS","mouse","after","11"
"00075b16a9","1","1","18","mouse_LPS","mouse","after","11"
"00075b6658","1","0.140924464487035","12","mouse_LPS","mouse","after","11"
"00075b22cb","0.616502743533052","0.0507328072153326","13","mouse_LPS","mouse","after","11"
"00074ee6e0","0.285498101498281","0","7","mouse_LPS","mouse","after","11"
"00074d99f3","0.804441440765546","0.357384441939121","15","mouse_LPS","mouse","after","11"
"00075b3362","0.954828588992867","0.140924464487035","12","mouse_LPS","mouse","after","11"
"00075d7b9e","0.804441440765546","0.0360766629086809","13","mouse_LPS","mouse","after","11"
"00074dd62e","0.86511824422261","0.2423900789177","14","mouse_LPS","mouse","after","11"
"00075b7157","0.444174059924012","0.205186020293123","10","mouse_LPS","mouse","after","11"
"00075d73fc","0.656709084584262","0.0620067643742954","10","mouse_LPS","mouse","after","11"
"00075e092e","0.871401279158917","0.186802715686664","22","mouse_LPS","mouse","after","12"
"00074da3ed","0.811580608507916","0.379838805733116","20","mouse_LPS","mouse","after","12"
"00074dd3df","0.871401279158917","0.577361337197761","23","mouse_LPS","mouse","after","12"
"00075b350a","1","1","26","mouse_LPS","mouse","after","12"
"00074fbd36","1","0.543177035772422","23","mouse_LPS","mouse","after","12"
"00075b2556","0.513496617473931","0.0142930877039743","11","mouse_LPS","mouse","after","12"
"00074bfc0b","0.931041650897284","0.402548933973875","23","mouse_LPS","mouse","after","12"
"00075a54f0","0.416532350741618","0","14","mouse_LPS","mouse","after","12"
"00075b5bcc","1","0.800849644657958","25","mouse_LPS","mouse","after","12"
"00075b22da","0.85201898624324","0.0706316750704729","20","mouse_LPS","mouse","after","12"
"00074f2ddd","0.890566906181885","0.552030809544606","23","mouse_LPS","mouse","after","12"
"00074f2268","0.956369239679184","0.383769404851709","23","mouse_LPS","mouse","after","12"
"00075b1074","0.80271418029369","0.337912415134792","22","mouse_LPS","mouse","after","12"
"00074eea3a","0.85201898624324","0.0335093500615397","19","mouse_LPS","mouse","after","12"
"11","0.020573214","0","5","Bats","Bats","Pre","1"
"12","0.24469463","0","8","Bats","Bats","Pre","1"
"13","0.227935","32.5","11","Bats","Bats","Pre","1"
"15","0.270107422","8","8","Bats","Bats","Pre","1"
"16","1","0","18","Bats","Bats","Pre","1"
"17","0.368498638","46.5","13","Bats","Bats","Pre","1"
"18","0.07614484","0","7","Bats","Bats","Pre","1"
"19","0.750514643","0","9","Bats","Bats","Pre","1"
"20","0.241337225","0","8","Bats","Bats","Pre","1"
"21","0.144362881","75","12","Bats","Bats","Pre","1"
"22","0.00432959","0","3","Bats","Bats","Pre","1"
"23","0.857975559","11","16","Bats","Bats","Pre","1"
"24","0.14429138","56","12","Bats","Bats","Pre","1"
"25","0.764833865","23.5","14","Bats","Bats","Pre","1"
"28","0.048411305","36","7","Bats","Bats","Pre","1"
"29","0.067613516","75","9","Bats","Bats","Pre","1"
"30","0.575508467","8","12","Bats","Bats","Pre","1"
"31","0.271946649","0","9","Bats","Bats","Pre","1"
"32","0.559460603","0","9","Bats","Bats","Pre","1"
"33","0.693385624","58","17","Bats","Bats","Pre","1"
"34","0.241060031","129.5","12","Bats","Bats","Pre","1"
"35","0.03250597","179.5","14","Bats","Bats","Pre","1"
"36","0.112019457","88","9","Bats","Bats","Pre","1"
"37","0.299384792","29","14","Bats","Bats","Pre","1"
"38","0.205837158","0","10","Bats","Bats","Pre","1"
"39","0.810112934","0","14","Bats","Bats","Pre","1"
"40","0.097468759","0","3","Bats","Bats","Pre","1"
"43","0.176135358","0","17","Bats","Bats","Pre","1"
"44","0.690367383","37","12","Bats","Bats","Pre","1"
"42","0.128635369","3","9","Bats","Bats","Pre","1"
"45","0.698574985","70.5","21","Bats","Bats","Pre","1"
"11","0.73856371","30","10","Bats","Bats","Post","1"
"12","0.43525994","0","8","Bats","Bats","Post","1"
"13","0.778653831","48","17","Bats","Bats","Post","1"
"15","0.1385763","27","11","Bats","Bats","Post","1"
"16","0.101705177","48","7","Bats","Bats","Post","1"
"17","0.149080836","32","10","Bats","Bats","Post","1"
