"","network","animal","condition","replicate_number","network_id","betweenness_centrality","eigenvector_centrality","degree","node_id"
"26","tits_2015","tits","before",1,1,0,0.000129869541629492,19,"173"
"27","tits_2015","tits","before",1,1,0,0.00023374726138245,22,"293"
"28","tits_2015","tits","before",1,1,0.154081079749766,0.00526319471275839,56,"334"
"29","tits_2015","tits","before",1,1,0,0.000137575788380413,21,"171"
"30","tits_2015","tits","before",1,1,0.0626077533126447,0.00446712898858284,49,"287"
"31","tits_2015","tits","before",1,1,0,0.000285488140324925,23,"290"
"32","tits_2015","tits","before",1,1,0,0.000150073821203467,18,"163"
"33","tits_2015","tits","before",1,1,0,9.52920972797061e-05,15,"228"
"34","tits_2015","tits","before",1,1,0,0.000235765231862281,20,"207"
"35","tits_2015","tits","before",1,1,0,0.000605825690612456,26,"337"
"36","tits_2015","tits","before",1,1,0,0.000663819857254403,28,"336"
"37","tits_2015","tits","before",1,1,0.00142850105906113,0.0282685030874647,38,"199"
"38","tits_2015","tits","before",1,1,0,0.0108627106040281,13,"176"
"39","tits_2015","tits","before",1,1,0.0227574996305601,0.922483093935804,94,"327"
"40","tits_2015","tits","before",1,1,0.02177232648638,0.0333301372628122,52,"282"
"41","tits_2015","tits","before",1,1,0.169991626028274,0.0838650709284734,90,"329"
"42","tits_2015","tits","before",1,1,9.8517314418009e-05,0.00864469097560234,18,"177"
"43","tits_2015","tits","before",1,1,0.00689621200926063,0.0127741691494756,31,"205"
"44","tits_2015","tits","before",1,1,9.8517314418009e-05,0.0147445079756662,26,"278"
"45","tits_2015","tits","before",1,1,0.00044332791488104,0.00896487367486683,24,"275"
"46","tits_2015","tits","before",1,1,0.0189153243682577,0.170014447904797,89,"332"
"47","tits_2015","tits","before",1,1,0.00172405300231516,0.681755981492565,86,"298"
"48","tits_2015","tits","before",1,1,0.0168957194226885,0.503173725572128,92,"322"
"49","tits_2015","tits","before",1,1,0.00398995123392936,0.338557036772208,61,"257"
"50","tits_2015","tits","before",1,1,0.00477808974927344,0.491975521148691,90,"285"
"51","tits_2015","tits","before",1,1,0.0367469582779173,0.448672758847627,80,"274"
"52","tits_2015","tits","before",1,1,0.243239249298064,0.522572998331846,89,"328"
"53","tits_2015","tits","before",1,1,0.000147775971627013,0.288100680939926,72,"246"
"54","tits_2015","tits","before",1,1,0.0111078272006305,0.0295634405772679,49,"152"
"55","tits_2015","tits","before",1,1,0.00211812225998719,0.776887063861945,94,"323"
"56","tits_2015","tits","before",1,1,0.000738879858135067,0.430781865577833,71,"226"
"57","tits_2015","tits","before",1,1,0.01137874981528,0.596511334145489,90,"315"
"58","tits_2015","tits","before",1,1,0.00842323038273977,0.192849757021161,97,"217"
"59","tits_2015","tits","before",1,1,0.00241367420324122,0.394222269338998,80,"216"
"60","tits_2015","tits","before",1,1,0,0.010954645685024,39,"291"
"61","tits_2015","tits","before",1,1,0.0100980247278459,0.0132458468038194,31,"269"
"62","tits_2015","tits","before",1,1,0.000295551943254027,0.0123254915120025,34,"259"
"63","tits_2015","tits","before",1,1,0,0.00026909536097252,23,"194"
"64","tits_2015","tits","before",1,1,9.8517314418009e-05,0.000244052464799728,23,"266"
"65","tits_2015","tits","before",1,1,0.0191616176543027,3.82295830793209e-05,15,"164"
"66","tits_2015","tits","before",1,1,0.0127579922171322,0.000199361500401257,25,"182"
"67","tits_2015","tits","before",1,1,0.00620659080833456,0.892825973277213,98,"325"
"68","tits_2015","tits","before",1,1,0,0.0181738964311662,23,"186"
"69","tits_2015","tits","before",1,1,0.0135461307324762,0.0179027283533756,40,"220"
"70","tits_2015","tits","before",1,1,0,0.00126655253936313,5,"210"
"71","tits_2015","tits","before",1,1,0.00704398798088764,0.657082956121793,90,"303"
"72","tits_2015","tits","before",1,1,0.00211812225998719,0.616271569010946,93,"299"
"73","tits_2015","tits","before",1,1,0.0159598049357175,0.41446514964388,83,"240"
"74","tits_2015","tits","before",1,1,0.00270922614649525,0.556018513110306,87,"333"
"75","tits_2015","tits","before",1,1,0.000197034628836018,0.175982926162859,76,"195"
"76","tits_2015","tits","before",1,1,0.0337421801881681,0.563666123336958,94,"314"
"77","tits_2015","tits","before",1,1,0.0103935766710999,0.286056089178493,66,"209"
"78","tits_2015","tits","before",1,1,0.000935914486971085,0.832885783745907,94,"310"
"79","tits_2015","tits","before",1,1,4.92586572090045e-05,0.351863397851092,79,"256"
"80","tits_2015","tits","before",1,1,0.000837397172553076,0.370626147556886,74,"263"
"81","tits_2015","tits","before",1,1,0.0076843505246047,0.646131433968544,98,"288"
"82","tits_2015","tits","before",1,1,0.000788138515344072,0.23827533874081,57,"251"
"83","tits_2015","tits","before",1,1,0.0032510713757943,0.34747031127613,68,"238"
