Network/Study,Condition,Animal,Year,Betweenness,Eigenvector_Centrality,Degree,Node ID
LantzAndKarubian2017,Post,Fairywrens,2013,0,0.25660286,11,EAA
LantzAndKarubian2017,Pre,Fairywrens,2013,0.666666667,0,4,EAA
LantzAndKarubian2017,Pre,Fairywrens,2013,0,6.94E-17,3,EAF
LantzAndKarubian2017,Post,Fairywrens,2013,0,0.289102389,13,EBW
LantzAndKarubian2017,Pre,Fairywrens,2013,0,0,3,EBW
LantzAndKarubian2017,Pre,Fairywrens,2013,0,7.23E-17,1,EEB
LantzAndKarubian2017,Post,Fairywrens,2013,1,1.36E-18,5,EEW
LantzAndKarubian2017,Post,Fairywrens,2013,1.454545455,8.15E-17,18,EGE
LantzAndKarubian2017,Post,Fairywrens,2013,0,2.39E-17,3,EYF
LantzAndKarubian2017,Post,Fairywrens,2013,0.833333333,0.468852871,20,FAF
LantzAndKarubian2017,Pre,Fairywrens,2013,1.333333333,0,5,FAF
LantzAndKarubian2017,Post,Fairywrens,2013,0.633333333,1,33,FAY
LantzAndKarubian2017,Post,Fairywrens,2013,0.363636364,1.30E-16,13,FBF
LantzAndKarubian2017,Pre,Fairywrens,2013,0,1.69E-16,3,FBF
LantzAndKarubian2017,Post,Fairywrens,2013,1.5,1.12E-16,13,FEA
LantzAndKarubian2017,Pre,Fairywrens,2013,0,1,5,FEA
LantzAndKarubian2017,Post,Fairywrens,2013,0,2.10E-18,2,FEG
LantzAndKarubian2017,Pre,Fairywrens,2013,0,1.72E-16,2,FEG
LantzAndKarubian2017,Post,Fairywrens,2013,0,2.54E-17,9,GAG
LantzAndKarubian2017,Pre,Fairywrens,2013,0,2.28E-16,2,GAG
LantzAndKarubian2017,Post,Fairywrens,2013,0,0,3,GGA
LantzAndKarubian2017,Pre,Fairywrens,2013,0,8.20E-17,3,GGA
LantzAndKarubian2017,Post,Fairywrens,2013,1.5,1.21E-16,13,GGE
LantzAndKarubian2017,Pre,Fairywrens,2013,0,1,5,GGE
LantzAndKarubian2017,Post,Fairywrens,2013,0.363636364,7.37E-17,12,GWY
LantzAndKarubian2017,Pre,Fairywrens,2013,0,2.16E-16,3,GWY
LantzAndKarubian2017,Post,Fairywrens,2013,1,8.61E-18,5,GYW
LantzAndKarubian2017,Post,Fairywrens,2013,0,0.592880567,19,UNB1
LantzAndKarubian2017,Post,Fairywrens,2013,0,0.592880567,19,UNB2
LantzAndKarubian2017,Pre,Fairywrens,2013,0,1.73E-16,2,WBW
LantzAndKarubian2017,Pre,Fairywrens,2013,1,1.73E-16,3,WFY
LantzAndKarubian2017,Pre,Fairywrens,2013,0,7.09E-17,3,WGB
LantzAndKarubian2017,Post,Fairywrens,2013,0.633333333,0.732019361,25,XXF
LantzAndKarubian2017,Post,Fairywrens,2013,0,0,9,XXY
LantzAndKarubian2017,Pre,Fairywrens,2013,0,1.02E-16,1,XXY
LantzAndKarubian2017,Post,Fairywrens,2013,3,1.47E-16,15,YWB
LantzAndKarubian2017,Pre,Fairywrens,2013,0,0.850781059,4,YWB
LantzAndKarubian2017,Post,Fairywrens,2013,0,0,2,YWE
LantzAndKarubian2017,Pre,Fairywrens,2013,3,7.09E-17,4,YWE
