"network","animal","condition","replicate_num","density","n_nodes","effective_information"
"mouse_no_injection","mouse","before","48","0.709558823529412","17","0.128248589261152"
"mouse_no_injection","mouse","before","49","0.462962962962963","27","0.237906526598399"
"mouse_no_injection","mouse","before","50","0.566666666666667","15","0.223404188692705"
"mouse_no_injection","mouse","before","51","0.370833333333333","16","0.4064935591599"
"mouse_no_injection","mouse","before","52","0.929487179487179","13","0.0609339718178554"
"mouse_no_injection","mouse","before","53","0.596153846153846","13","0.211815389259531"
"mouse_no_injection","mouse","before","54","0.710526315789474","19","0.143177800149035"
"mouse_no_injection","mouse","before","55","0.611111111111111","10","0.273524318635323"
"mouse_no_injection","mouse","before","56","0.666666666666667","18","0.14439547207281"
"mouse_no_injection","mouse","before","57","0.931818181818182","12","0.0616830483372375"
"mouse_no_injection","mouse","before","58","0.338235294117647","17","0.427615414651106"
"mouse_no_injection","mouse","before","59","0.456043956043956","14","0.288137125384144"
"mouse_no_injection","mouse","before","60","0.758169934640523","18","0.123359603491463"
"mouse_no_injection","mouse","before","61","0.507575757575758","12","0.344005476072583"
"mouse_no_injection","mouse","before","62","0.802197802197802","14","0.0876417810103963"
"mouse_no_injection","mouse","before","63","0.554945054945055","14","0.255369737932964"
"mouse_no_injection","mouse","before","64","0.441176470588235","18","0.31103348625889"
"mouse_no_injection","mouse","before","65","0.232007575757576","33","0.42852179571952"
"mouse_no_injection","mouse","before","66","0.923076923076923","14","0.0617188830767918"
"mouse_no_injection","mouse","before","67","0.463636363636364","11","0.378517770511859"
"mouse_no_injection","mouse","before","68","0.552380952380952","15","0.231730797905893"
"mouse_no_injection","mouse","before","69","0.602631578947368","20","0.202632521303496"
"mouse_no_injection","mouse","before","70","0.575757575757576","12","0.267667259861202"
"mouse_no_injection","mouse","before","71","0.848484848484849","12","0.0902951258488316"
"mouse_no_injection","mouse","before","72","0.539473684210526","20","0.228731455963458"
"mouse_no_injection","mouse","before","73","0.787878787878788","12","0.150784607510077"
"mouse_no_injection","mouse","after","1","0.333333333333333","31","0.325648092394115"
"mouse_no_injection","mouse","after","2","0.9","15","0.0575304827595777"
"mouse_no_injection","mouse","after","3","0.773684210526316","20","0.110111082834729"
"mouse_no_injection","mouse","after","4","0.516666666666667","16","0.255327256966465"
"mouse_no_injection","mouse","after","5","0.551666666666667","25","0.207920900164173"
"mouse_no_injection","mouse","after","6","0.485380116959064","19","0.264366082103005"
"mouse_no_injection","mouse","after","7","0.53921568627451","18","0.312649299983437"
"mouse_no_injection","mouse","after","8","0.367741935483871","31","0.330767022501073"
"mouse_no_injection","mouse","after","9","0.645833333333333","16","0.15033483083429"
"mouse_no_injection","mouse","after","10","0.431578947368421","20","0.300182717008028"
"mouse_no_injection","mouse","after","11","0.752307692307692","26","0.0944198156699009"
"mouse_no_injection","mouse","after","12","0.389473684210526","20","0.352232904321527"
"mouse_no_injection","mouse","after","13","0.496732026143791","18","0.249755004621312"
"mouse_no_injection","mouse","after","14","0.756923076923077","26","0.0955193962134278"
"mouse_no_injection","mouse","after","15","0.479166666666667","16","0.232890309293004"
"mouse_no_injection","mouse","after","16","0.7","10","0.182864992702347"
"mouse_no_injection","mouse","after","17","0.616959064327485","19","0.176610242088996"
"mouse_no_injection","mouse","after","18","0.772058823529412","17","0.0932620821396458"
"mouse_no_injection","mouse","after","19","0.812307692307692","26","0.0711183857354625"
"mouse_no_injection","mouse","after","20","0.486928104575163","18","0.348431643494944"
"mouse_no_injection","mouse","after","21","0.388104838709677","32","0.279150226709624"
"mouse_no_injection","mouse","after","22","0.862637362637363","14","0.0686872300347247"
"mouse_no_injection","mouse","after","23","0.584967320261438","18","0.209057727990396"
"mouse_no_injection","mouse","after","24","0.529411764705882","18","0.248706148105124"
"mouse_no_injection","mouse","after","25","0.710526315789474","19","0.138243612736053"
"mouse_no_injection","mouse","after","26","0.726315789473684","20","0.126503147532234"
"mouse_no_injection","mouse","after","27","0.745614035087719","19","0.13146755638368"
"mouse_no_injection","mouse","after","28","0.623809523809524","15","0.183155723654858"
"mouse_no_injection","mouse","after","29","0.477124183006536","18","0.269229088978329"
"mouse_no_injection","mouse","after","30","0.371428571428571","15","0.420017772120968"
"mouse_no_injection","mouse","after","31","0.841538461538462","26","0.0583307639440658"
"mouse_no_injection","mouse","after","32","0.532163742690059","19","0.238023063752973"
"mouse_no_injection","mouse","after","33","0.549450549450549","14","0.242146690854436"
"mouse_no_injection","mouse","after","34","0.396011396011396","27","0.275988642055798"
"mouse_no_injection","mouse","after","35","0.388888888888889","10","0.453522821324871"
"mouse_no_injection","mouse","after","36","0.729166666666667","16","0.144526196395276"
"mouse_no_injection","mouse","after","37","0.576923076923077","14","0.230473007603786"
"mouse_no_injection","mouse","after","38","0.404411764705882","17","0.362041077680541"
"mouse_no_injection","mouse","after","39","0.989010989010989","14","0.0324092950526691"
"mouse_no_injection","mouse","after","40","0.760526315789474","20","0.121466564948901"
"mouse_no_injection","mouse","after","41","0.709558823529412","17","0.128248589261152"
"mouse_no_injection","mouse","after","42","0.675","16","0.174104128407724"
"mouse_no_injection","mouse","after","43","0.787878787878788","12","0.122201492414982"
"mouse_no_injection","mouse","after","44","0.439393939393939","12","0.376880685681622"
"mouse_no_injection","mouse","after","45","0.566666666666667","15","0.223404188692705"
"mouse_no_injection","mouse","after","46","0.820261437908497","18","0.0886689630628162"
"mouse_no_injection","mouse","after","47","0.596153846153846","13","0.211815389259531"
"mouse_no_injection","mouse","after","48","0.623809523809524","15","0.163041782074241"
"mouse_no_injection","mouse","after","49","0.472307692307692","26","0.231885104182226"
"mouse_no_injection","mouse","after","50","0.769230769230769","13","0.155474653081585"
"mouse_no_injection","mouse","after","51","0.525","16","0.257448595128935"
"mouse_no_injection","mouse","after","52","0.802197802197802","14","0.118268563269003"
"mouse_no_injection","mouse","after","53","0.448717948717949","13","0.338288332888365"
"mouse_no_injection","mouse","after","54","0.758169934640523","18","0.123359603491463"
"mouse_no_injection","mouse","after","55","0.507575757575758","12","0.344005476072583"
"mouse_no_injection","mouse","after","56","0.802197802197802","14","0.0876417810103963"
"mouse_no_injection","mouse","after","57","0.545454545454545","11","0.314861217839338"
"mouse_no_injection","mouse","after","58","0.441176470588235","18","0.31103348625889"
"mouse_no_injection","mouse","after","59","0.326923076923077","13","0.467031685900804"
"mouse_no_injection","mouse","after","60","0.757309941520468","19","0.104443564308725"
"mouse_no_injection","mouse","after","61","0.463636363636364","11","0.378517770511859"
"mouse_no_injection","mouse","after","62","0.736263736263736","14","0.126095212849998"
"mouse_no_injection","mouse","after","63","0.552380952380952","15","0.231730797905893"
"mouse_no_injection","mouse","after","64","0.602631578947368","20","0.202632521303496"
"mouse_no_injection","mouse","after","65","0.393115942028985","24","0.304419297898084"
"mouse_no_injection","mouse","after","66","0.866666666666667","15","0.0731221505999314"
"mouse_no_injection","mouse","after","67","0.609090909090909","11","0.240009060480222"
