Focal.Letter.ID,TubPeriod,node,strength,betweenness,Clustering coefficient ,Period,Treatment,Sex,Tub,Elytra,Number of observations
EU,C3_1,11,3.155142923,48,0.468525134,1,C,M,C3,7.942,41
EU,C3_2,11,3.980133947,73,0.596703128,2,C,M,C3,7.942,42
EV,C3_1,12,2.573618344,22,0.545154296,1,C,M,C3,6.603,36
EV,C3_2,12,2.576894278,3,0.473715931,2,C,M,C3,6.603,19
EX,C3_1,13,2.143768803,18,0.390625,1,C,M,C3,7.556,47
EX,C3_2,13,3.351480819,18,0.627929525,2,C,M,C3,7.556,42
EZ,C3_1,14,2.062664821,9,0.491185982,1,C,M,C3,7.006,41
EZ,C3_2,14,4.195783756,23,0.615502994,2,C,M,C3,7.006,32
OA,C3_1,15,1.71861854,0,0.497040808,1,C,F,C3,6.496,12
OA,C3_2,15,2.604482379,22,0.661262226,2,C,F,C3,6.496,22
OC,C3_1,16,0.749525595,0,0.549445248,1,C,F,C3,7.198,18
OC,C3_2,16,2.850996336,16,0.584755588,2,C,F,C3,7.198,25
OD,C3_1,17,1.789840549,0,0.244281202,1,C,F,C3,6.619,24
OD,C3_2,17,0.896986234,0,1,2,C,F,C3,6.619,21
OH,C3_1,18,2.829384316,35,0.445987367,1,C,F,C3,7.378,33
OH,C3_2,18,4.130424977,34,0.567942035,2,C,F,C3,7.378,36
OK,C3_1,19,2.67448581,28,0.511192324,1,C,F,C3,6.968,24
OK,C3_2,19,3.137458169,3,0.562109593,2,C,F,C3,6.968,18
OL,C3_1,20,2.941440775,45,0.534078729,1,C,F,C3,7.829,36
OL,C3_2,20,4.504437322,53,0.625269519,2,C,F,C3,7.829,35
OM,C3_1,21,1.481180854,7,0.395756921,1,C,F,C3,6.652,17
OM,C3_2,21,2.834172271,3,0.551282572,2,C,F,C3,6.652,19
OO,C3_1,22,2.558636108,20,0.408173108,1,C,F,C3,6.836,25
OO,C3_2,22,3.37510609,46,0.496167997,2,C,F,C3,6.836,39
OP,C3_1,23,1.892008931,0,0.3724831,1,C,F,C3,6.908,24
OP,C3_2,23,1.306434823,0,0.708600154,2,C,F,C3,6.908,13
OS,C3_1,24,3.207278518,51,0.406588055,1,C,F,C3,7.133,34
OS,C3_2,24,4.006711958,28,0.504287627,2,C,F,C3,7.133,28
OT,C3_1,25,2.138978461,11,0.607002126,1,C,F,C3,6.415,31
OT,C3_2,25,2.142700164,7,0.525332616,2,C,F,C3,6.415,10
OU,C3_1,26,2.88377767,41,0.308050001,1,C,F,C3,6.741,20
OU,C3_2,26,4.241790729,74,0.618105143,2,C,F,C3,6.741,31
OX,C3_1,27,1.603891659,0,0.481105013,1,C,F,C3,6.605,22
OX,C3_2,28,1.826325566,8,0.49185415,2,C,F,C3,6.605,22
OZ,C3_1,28,0.987678943,1,0.911990973,1,C,F,C3,6.251,15
OZ,C3_2,29,3.702372612,46,0.634210364,2,C,F,C3,6.251,25
OV,C3_1,NA,NA,NA,NA,1,C,F,C3,5.998,6
OV,C3_2,27,0.158113883,0,NA,2,C,F,C3,5.998,25
HA,C4_1,1,2.098207425,0,0.363755441,1,C,M,C4,7.126,34
HA,C4_2,1,1.606598597,0,0.496234398,2,C,M,C4,7.126,33
HC,C4_1,2,2.908919936,27,0.613004015,1,C,M,C4,5.438,44
HC,C4_2,2,3.057542611,4,0.495702354,2,C,M,C4,5.438,32
HD,C4_1,3,3.118163197,11,0.545660689,1,C,M,C4,7.337,46
HD,C4_2,3,3.263634556,24,0.531254588,2,C,M,C4,7.337,41
HE,C4_1,4,3.115088115,35,0.262142177,1,C,M,C4,6.862,42
HE,C4_2,4,1.481256976,1,0.325060348,2,C,M,C4,6.862,28
