box,IDA[inside_first],sexA,IDB[inside_after_IDA],sexB,number_encounters,time_together[sec],date_obs
24,00074bdb9c,XY,00075d2329,XY,2,2404,18-Jan
24,00074bdb9c,XY,00075b39cc,XX,6,203,18-Jan
24,00074bdb9c,XY,00074ed1e1,XX,1,34,18-Jan
24,00074bdb9c,XY,00075b38ca,XX,3,275,18-Jan
24,00074bdb9c,XY,00074ff562,XX,2,96,18-Jan
24,00074bdb9c,XY,00074f75b7,XY,1,262,18-Jan
24,00074bdb9c,XY,00075b47ed,XY,5,5525,18-Jan
24,00074bdb9c,XY,00075b5bfa,XX,1,2894,18-Jan
24,00074bdb9c,XY,00075d4864,XX,16,861,18-Jan
24,00074bdb9c,XY,00074f0477,XX,10,1118,18-Jan
24,00074bdb9c,XY,00075b38ca,XX,3,359,20-Jan
24,00074bdb9c,XY,00075d4864,XX,4,277,20-Jan
24,00074bdb9c,XY,00075b39cc,XX,10,2870,20-Jan
24,00074bdb9c,XY,00075d2329,XY,2,349,20-Jan
24,00074bdb9c,XY,00074f0477,XX,1,358,20-Jan
24,00074bdb9c,XY,00075a3dcf,NO,6,3502,20-Jan
24,00074bdb9c,XY,00075b3038,XX,4,104,20-Jan
24,00074bdb9c,XY,00075b5bfa,XX,1,49,20-Jan
24,00074bdb9c,XY,00074ff562,XX,3,864,20-Jan
24,00074bdb9c,XY,00074ed1e1,XX,4,887,20-Jan
24,00074bdb9c,XY,00074ee5e3,XY,2,256,20-Jan
24,00074bdb9c,XY,00075b39cc,XX,2,147,22-Jan
24,00074bdb9c,XY,00075d4864,XX,10,1415,22-Jan
24,00074bdb9c,XY,00074f75b7,XY,1,7,22-Jan
24,00074bdb9c,XY,00075b5bfa,XX,11,1957,22-Jan
24,00074bdb9c,XY,00074f0477,XX,3,274,22-Jan
24,00074bdb9c,XY,00075b38ca,XX,1,182,22-Jan
24,00074bdb9c,XY,00074ee5e3,XY,1,21,22-Jan
24,00074bdb9c,XY,00074ff562,XX,9,2467,22-Jan
24,00074bdb9c,XY,00075b42d5,XY,1,4,22-Jan
24,00074bdb9c,XY,00074f75b7,XY,3,1020,24-Jan
24,00074bdb9c,XY,00074ed1e1,XX,15,1864,24-Jan
24,00074bdb9c,XY,00075d0801,XY,2,5545,24-Jan
24,00074bdb9c,XY,00074ff562,XX,3,639,24-Jan
24,00074bdb9c,XY,00075a3dcf,NO,4,1004,24-Jan
24,00074bdb9c,XY,00074f5a1c,XY,1,214,24-Jan
24,00074bdb9c,XY,00075d4864,XX,10,845,24-Jan
24,00074bdb9c,XY,00074f0477,XX,3,1082,24-Jan
24,00074bdb9c,XY,00075b39cc,XX,6,3826,24-Jan
24,00074bdb9c,XY,00075b5bfa,XX,9,1801,24-Jan
24,00074bdb9c,XY,00075b38ca,XX,1,346,24-Jan
24,00074bdb9c,XY,00075b3038,XX,9,4279,24-Jan
24,00074bdb9c,XY,00074ff562,XX,19,3381,25-Feb
24,00074bdb9c,XY,00074ed1e1,XX,14,5355,25-Feb
24,00074bdb9c,XY,00075d4864,XX,21,2431,25-Feb
24,00074bdb9c,XY,00074f0477,XX,7,801,25-Feb
24,00074bdb9c,XY,00074f75b7,XY,1,72,25-Feb
24,00074bdb9c,XY,00075b3038,XX,7,751,25-Feb
24,00074bdb9c,XY,00075b38ca,XX,19,810,25-Feb
24,00074bdb9c,XY,00075b5bfa,XX,3,1395,25-Feb
24,00074bdb9c,XY,00074ff562,XX,3,256,27-Feb
24,00074bdb9c,XY,00075a3dcf,XX,1,147,27-Feb
24,00074bdb9c,XY,00075b38ca,XX,1,23,27-Feb
24,00074bdb9c,XY,00074f0477,XX,1,5,27-Feb
24,00074bdb9c,XY,00075b3038,XX,1,2,28-Jan
24,00074bdb9c,XY,00074f0477,XX,2,30,3-Feb
24,00074bdb9c,XY,00075b39cc,XX,1,48,3-Feb
24,00074bdb9c,XY,00075b39cc,XX,14,10053,3-Mar
24,00074bdb9c,XY,00075b38ca,XX,3,91,3-Mar
24,00074bdb9c,XY,00075d4864,XX,4,4180,3-Mar
24,00074bdb9c,XY,00075d2329,XY,1,883,3-Mar
24,00074bdb9c,XY,00075b3038,XX,10,1448,3-Mar
24,00074bdb9c,XY,00074ff562,XX,13,3445,3-Mar
24,00074bdb9c,XY,00075b5bfa,XX,7,1390,3-Mar
24,00074bdb9c,XY,00074f0477,XX,4,155,3-Mar
24,00074bdb9c,XY,00075b25de,XY,8,2785,3-Mar
24,00074bdb9c,XY,00075a3dcf,XX,24,5861,3-Mar
24,00074bdb9c,XY,00074ed1e1,XX,7,381,3-Mar
24,00074bdb9c,XY,00074f75b7,XY,1,74,3-Mar
24,00074bdb9c,XY,00074ff562,XX,4,289,31-Jan
24,00074bdb9c,XY,00075b38ca,XX,2,26,4-Mar
24,00074bdb9c,XY,00075b39cc,XX,4,1240,4-Mar
24,00074bdb9c,XY,00074ff562,XX,2,288,4-Mar
24,00074bdb9c,XY,00074f0477,XX,1,32,4-Mar
24,00074bdb9c,XY,00075b5bfa,XX,1,2,4-Mar
24,00074bdb9c,XY,00074ed1e1,XX,4,154,4-Mar
24,00074bdb9c,XY,00075b25de,XY,8,1921,4-Mar
24,00074bdb9c,XY,00075a3dcf,XX,14,6549,4-Mar
24,00074bdb9c,XY,00074f75b7,XY,2,146,4-Mar
24,00074bdb9c,XY,00075d4864,XX,1,625,4-Mar
24,00074bdb9c,XY,00075b3038,XX,1,424,4-Mar
24,00074bdb9c,XY,00075b39cc,XX,1,24,5-Feb
24,00074bdb9c,XY,00075d4864,XX,1,19,5-Feb
24,00074bdb9c,XY,00074ed1e1,XX,1,13,5-Feb
24,00074bdb9c,XY,00075b3038,XX,1,40,5-Feb
24,00074bdb9c,XY,00074f5a1c,XY,1,162,6-Mar
24,00074bdb9c,XY,00075b3038,XX,4,2590,6-Mar
24,00074bdb9c,XY,00075d4864,XX,3,741,6-Mar
24,00074bdb9c,XY,00074ed1e1,XX,6,1978,6-Mar
24,00074bdb9c,XY,00074f75b7,XY,9,2144,6-Mar
24,00074bdb9c,XY,00075b25de,XY,13,6214,6-Mar
24,00074bdb9c,XY,00075a3dcf,XX,5,1946,6-Mar
